r_best,r_max,r_top,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
9.500326514244079590e-01,9.500326514244079590e-01,4.952421486377716064e-01,1.021969169378280640e-01,8.778890967369079590e-01,1.812181854248046875e+01,1.900000000000000000e+01,4.389445483684539795e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.203889608383178711e+00,1.093545556068420410e+00,1.818181830458343029e-03,0.000000000000000000e+00,4.389445483684539795e-01,2.142131347656250000e+02
9.500326514244079590e-01,9.354960918426513672e-01,6.591986417770385742e-01,1.111356839537620544e-01,9.171667695045471191e-01,1.811272811889648438e+01,1.970909118652343750e+01,6.780556440353393555e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.051824331283569336e+00,8.459624052047729492e-01,7.272727321833372116e-03,0.000000000000000000e+00,6.780556440353393555e-01,5.214523925781250000e+02
9.500326514244079590e-01,9.304765462875366211e-01,7.618049383163452148e-01,1.135668233036994934e-01,9.036112427711486816e-01,1.770909118652343750e+01,1.867272758483886719e+01,7.908334732055664062e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.028973817825317383e+00,5.500000119209289551e-01,5.454545374959707260e-03,0.000000000000000000e+00,7.908334732055664062e-01,8.196306152343750000e+02
9.500326514244079590e-01,9.353640675544738770e-01,7.724505066871643066e-01,1.119753941893577576e-01,9.069062471389770508e-01,1.795636367797851562e+01,1.949090957641601562e+01,8.488698601722717285e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.118414402008056641e+00,1.052937746047973633e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.488698601722717285e-01,1.062470825195312500e+03
9.678567647933959961e-01,9.678567647933959961e-01,7.920250892639160156e-01,1.224085688591003418e-01,8.955399990081787109e-01,1.760727310180664062e+01,1.952727317810058594e+01,8.722048997879028320e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.047400951385498047e+00,4.000000059604644775e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.722048997879028320e-01,1.352378906250000000e+03
9.678567647933959961e-01,9.639863967895507812e-01,8.191837668418884277e-01,1.133181005716323853e-01,9.322994947433471680e-01,1.655454635620117188e+01,1.879999923706054688e+01,9.022521972656250000e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.089880228042602539e+00,1.022812724113464355e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.022521972656250000e-01,1.625971313476562500e+03
9.678567647933959961e-01,9.489654302597045898e-01,8.610845804214477539e-01,1.264269948005676270e-01,9.347155690193176270e-01,1.789090919494628906e+01,1.910909080505371094e+01,9.184839129447937012e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.038534641265869141e+00,9.848421812057495117e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.184839129447937012e-01,1.882907592773437500e+03
9.678567647933959961e-01,9.534246325492858887e-01,9.001584649085998535e-01,1.617692708969116211e-01,9.421074986457824707e-01,1.835090827941894531e+01,1.927272796630859375e+01,9.302957057952880859e-01,5.490000000000000000e+02,5.500000000000000000e+01,5.480000000000000000e+02,5.500000000000000000e+01,1.910868525505065918e+00,1.079210996627807617e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.302957057952880859e-01,2.126425048828125000e+03
9.678567647933959961e-01,9.671471714973449707e-01,7.613254785537719727e-01,1.009020805358886719e-01,9.299727678298950195e-01,1.844181823730468750e+01,1.916363716125488281e+01,9.301342368125915527e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.872117638587951660e+00,6.000000238418579102e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.301342368125915527e-01,2.377172607421875000e+03
9.678567647933959961e-01,9.449396729469299316e-01,7.378402352333068848e-01,1.209672763943672180e-01,9.331755638122558594e-01,1.810000038146972656e+01,1.947272682189941406e+01,9.316549301147460938e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.897470474243164062e+00,4.000000059604644775e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.316549301147460938e-01,2.592892089843750000e+03
9.681934118270874023e-01,9.681934118270874023e-01,6.300309300422668457e-01,9.490803629159927368e-02,8.989484906196594238e-01,1.696363639831542969e+01,1.967272758483886719e+01,9.153016805648803711e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.003959655761718750e+00,9.701520800590515137e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.153016805648803711e-01,2.753015869140625000e+03
9.753481149673461914e-01,9.753481149673461914e-01,7.381432056427001953e-01,1.204297989606857300e-01,9.362781643867492676e-01,1.882363700866699219e+01,1.847272682189941406e+01,9.257899522781372070e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.976978063583374023e+00,1.211124062538146973e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.257899522781372070e-01,3.067208740234375000e+03
9.753481149673461914e-01,9.419955611228942871e-01,7.081764936447143555e-01,1.053548529744148254e-01,8.979888558387756348e-01,1.839636421203613281e+01,1.878181838989257812e+01,9.118894338607788086e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.973826885223388672e+00,1.153095364570617676e+00,2.909090928733348846e-02,0.000000000000000000e+00,9.118894338607788086e-01,3.231846191406250000e+03
9.753481149673461914e-01,9.708029627799987793e-01,5.475894808769226074e-01,9.927325695753097534e-02,9.078381061553955078e-01,1.805090904235839844e+01,1.969090843200683594e+01,9.098637700080871582e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.057348966598510742e+00,1.175974845886230469e+00,5.454545374959707260e-03,0.000000000000000000e+00,9.098637700080871582e-01,3.407122314453125000e+03
