r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
0.9674307688225203,0,1,[x2**2 - 2*cos(x1)],"sub,sub,sub,n2,x2,cos,x1,cos,x1,sub,x2,x2",0.0,0.0,True
0.9674307688225203,0,1,[x2**2 - 2*cos(x1)],"sub,sub,n2,sub,x1,sub,x1,x2,cos,x1,cos,x1",0.0,0.0,True
0.9674307688225203,0,1,[x2**2 - 2*cos(x1)],"sub,sub,sub,n2,x2,cos,x1,cos,x1,mul,sub,x2,x2,x2",0.0,0.0,True
0.9674307688225203,0,1,[x2**2 - 2*cos(x1)],"sub,sub,n2,sub,sub,x2,x2,x2,cos,x1,cos,x1",0.0,0.0,True
0.9674307688225203,0,1,[x2**2 - 2*cos(x1)],"sub,sub,n2,sub,x1,add,x1,x2,cos,x1,cos,x1",0.0,0.0,True
0.9674307688225203,0,1,[x2**2 - 2*cos(x1)],"sub,sub,n2,sub,x2,sub,x1,x1,cos,x1,cos,x1",0.0,0.0,True
0.9665610391852913,0,1,[x2**2 - 2*cos(x1)],"sub,sub,n2,sub,x1,sub,x1,x2,cos,x1,cos,x1",0.0,0.0,True
0.9665610391852913,0,1,[x2**2 - 2*cos(x1)],"sub,sub,sub,n2,x2,cos,x1,cos,x1,sub,x2,x2",0.0,0.0,True
0.9665610391852913,0,1,[x2**2 - 2*cos(x1)],"sub,sub,sub,n2,x2,cos,x1,cos,x1,mul,sub,x2,x2,x2",0.0,0.0,True
0.9665610391852913,0,1,[x2**2 - 2*cos(x1)],"sub,sub,n2,sub,x2,sub,x1,x1,cos,x1,cos,x1",0.0,0.0,True
0.9665610391852913,0,1,[x2**2 - 2*cos(x1)],"sub,sub,n2,sub,sub,x2,x2,x2,cos,x1,cos,x1",0.0,0.0,True
0.9665610391852913,0,1,[x2**2 - 2*cos(x1)],"sub,sub,n2,sub,x1,add,x1,x2,cos,x1,cos,x1",0.0,0.0,True
0.9633874391030771,0,1,[x2**2 - 2*cos(x1) - cos(x2)],"sub,sub,sub,n2,sub,x1,sub,x1,x2,cos,x1,cos,x1,cos,x2",0.007285924115141436,0.007285924115141436,False
0.9602809992184141,0,1,[x2**2 - 2*cos(x1) - cos(x2)],"sub,sub,sub,n2,sub,x1,sub,x1,x2,cos,x1,cos,x1,cos,x2",0.007285924115141436,0.007285924115141436,False
0.9498124728859494,0,1,[x2**2 - sin(x2) - 2*cos(x1)],"sub,sub,sub,n2,sub,x1,sub,x1,x2,cos,x1,cos,x1,sin,x2",0.18185832633457133,0.18185832633457133,False
0.9498124728859494,0,1,[x2**2 - sin(x2) - 2*cos(x1)],"sub,sub,n2,sub,x1,sub,x1,x2,cos,x1,add,cos,x1,sin,x2",0.18185832633457133,0.18185832633457133,False
0.9309881414331457,0,1,[x2**2 - x2 - 2*cos(x1)],"sub,sub,n2,sub,x1,add,x1,x2,cos,x1,add,x2,cos,x1",0.19399475012886697,0.19399475012886697,False
