r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
0.9997998079731512,0,1,[x2**2 + x5**2 + x6**2 + (x1 + x3*x4*x6**2)**2],"add,add,n2,x5,add,n2,x2,mul,x6,x6,n2,add,mul,mul,x3,n2,x6,x4,x1",0.0,0.0,True
0.9997998079731512,0,1,[x2**2 + x5**2 + x6**2 + (x1 + x3*x4*x6**2)**2],"add,add,n2,x5,add,n2,x2,n2,x6,n2,add,mul,mul,x3,n2,x6,x4,x1",0.0,0.0,True
0.9997958253122226,0,1,[x2**2 + x5**2 + x6**2 + (x1 + x2**2*x3*x4)**2],"add,add,n2,x5,add,n2,x2,mul,x6,x6,n2,add,mul,mul,x3,n2,x2,x4,x1",8.369107503801931e-07,8.369107503801931e-07,False
0.9997957566149358,0,1,[x2**2 + x5**2 + x6**2 + (-x1 + x3*x4*x5**2)**2],"add,add,n2,x5,add,n2,x2,mul,x6,x6,n2,sub,mul,mul,x3,n2,x5,x4,x1",0.0,0.0,True
0.9997955197270807,0,1,[x2**2 + x5**2 + x6**2 + (x1 + x3*x4*x5**2)**2],"add,add,n2,x5,add,n2,x2,mul,x6,x6,n2,add,mul,mul,x3,n2,x5,x4,x1",0.0,0.0,True
0.9997925430334691,0,1,[x2**2 + x5**2 + x6**2 + (-x1 + x3*x4*x6**2)**2],"add,add,n2,x5,add,n2,x2,mul,x6,x6,n2,sub,mul,mul,x3,n2,x6,x4,x1",0.0,0.0,True
0.9997923345861751,0,1,[x2**2 + x5**2 + x6**2 + (-x1 + x2**2*x3*x4)**2],"add,add,n2,x5,add,n2,x2,mul,x6,x6,n2,sub,mul,mul,x3,n2,x2,x4,x1",0.0,0.0,True
0.9997896456639661,0,1,[x2**2 + x5**2 + x6**2 + (x1 + sin(x3*x4*x6))**2],"add,add,n2,x5,add,n2,x2,mul,x6,x6,n2,add,sin,mul,mul,x3,x6,x4,x1",0.0,0.0,True
0.9997881902744148,0,1,[x2**2 + x5**2 + x6**2 + (x1 + x3*x4*sin(x6))**2],"add,add,n2,x5,add,n2,x2,mul,x6,x6,n2,add,mul,mul,x3,sin,x6,x4,x1",0.0,0.0,True
0.9997874241241511,0,1,[4*x1**2 + x2**2 + x5**2 + (x1*x3*x4 + x6)**2],"add,n2,x5,add,n2,add,x1,x1,add,n2,add,mul,x1,mul,x3,x4,x6,n2,x2",0.0,0.0,True
