r_best,r_max,r_top,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
9.865927696228027344e-01,9.865927696228027344e-01,5.174768567085266113e-01,9.630270302295684814e-02,9.371438026428222656e-01,1.630545425415039062e+01,1.861818122863769531e+01,4.685719013214111328e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.168588161468505859e+00,1.119674563407897949e+00,1.818181760609149933e-02,0.000000000000000000e+00,4.685719013214111328e-01,1.622338867187500000e+02
9.865927696228027344e-01,9.752644896507263184e-01,6.544169783592224121e-01,1.017229929566383362e-01,9.376463294029235840e-01,1.767818260192871094e+01,1.834545516967773438e+01,7.031091451644897461e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.129878282546997070e+00,1.089753627777099609e+00,5.454545374959707260e-03,0.000000000000000000e+00,7.031091451644897461e-01,2.858721923828125000e+02
9.865927696228027344e-01,9.290707707405090332e-01,8.501073718070983887e-01,1.085410043597221375e-01,8.924840688705444336e-01,1.832909011840820312e+01,1.867272758483886719e+01,7.977966070175170898e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.901800632476806641e+00,4.736842215061187744e-01,1.090909074991941452e-02,0.000000000000000000e+00,7.977966070175170898e-01,6.076148071289062500e+02
9.865927696228027344e-01,9.463414549827575684e-01,8.078766465187072754e-01,8.563780784606933594e-02,8.513078093528747559e-01,1.723999977111816406e+01,1.765454483032226562e+01,8.245521783828735352e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.980077624320983887e+00,5.789473652839660645e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.245521783828735352e-01,7.596885986328125000e+02
9.865927696228027344e-01,9.349331855773925781e-01,8.763028383255004883e-01,1.212857589125633240e-01,9.097375869750976562e-01,1.784727287292480469e+01,1.841818237304687500e+01,8.671448826789855957e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.995064854621887207e+00,7.368420958518981934e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.671448826789855957e-01,9.020324096679687500e+02
9.904397726058959961e-01,9.904397726058959961e-01,9.038067460060119629e-01,1.227658018469810486e-01,9.683386683464050293e-01,1.653454589843750000e+01,1.856363677978515625e+01,9.177417755126953125e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.069808006286621094e+00,4.210526347160339355e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.177417755126953125e-01,1.067730224609375000e+03
9.904397726058959961e-01,9.875448942184448242e-01,9.022923111915588379e-01,1.137117147445678711e-01,9.553115963935852051e-01,1.770545387268066406e+01,1.856363677978515625e+01,9.365266561508178711e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.909664988517761230e+00,5.789473652839660645e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.365266561508178711e-01,1.211910400390625000e+03
9.904397726058959961e-01,9.891093969345092773e-01,9.123679399490356445e-01,1.184924021363258362e-01,9.644272327423095703e-01,1.712909126281738281e+01,1.834545516967773438e+01,9.504769444465637207e-01,5.480000000000000000e+02,5.400000000000000000e+01,5.400000000000000000e+02,5.000000000000000000e+01,1.904139518737792969e+00,6.842105388641357422e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.504769444465637207e-01,1.316879394531250000e+03
9.905331730842590332e-01,9.905331730842590332e-01,8.700375556945800781e-01,1.073159351944923401e-01,9.568024277687072754e-01,1.728727340698242188e+01,1.872727203369140625e+01,9.536396861076354980e-01,5.440000000000000000e+02,5.500000000000000000e+01,5.280000000000000000e+02,4.700000000000000000e+01,1.817452788352966309e+00,3.684210479259490967e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.536396861076354980e-01,1.434346801757812500e+03
9.905331730842590332e-01,9.872828722000122070e-01,9.601002931594848633e-01,2.027854472398757935e-01,9.714260697364807129e-01,1.798545455932617188e+01,1.859701538085937500e+01,9.625328779220581055e-01,5.160000000000000000e+02,5.300000000000000000e+01,4.840000000000000000e+02,4.600000000000000000e+01,1.699536681175231934e+00,3.684210479259490967e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.625328779220581055e-01,1.555666137695312500e+03
