r_best,r_max,r_top,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
9.873653650283813477e-01,9.873653650283813477e-01,0.000000000000000000e+00,7.944640517234802246e-02,7.944640517234802246e-02,1.623636436462402344e+01,1.623636436462402344e+01,3.972320258617401123e-02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.250123500823974609e+00,2.250123500823974609e+00,2.727272734045982361e-02,2.727272734045982361e-02,3.972320258617401123e-02,3.048659973144531250e+02
9.873653650283813477e-01,9.795655012130737305e-01,0.000000000000000000e+00,8.933796733617782593e-02,8.933796733617782593e-02,2.104000091552734375e+01,2.104000091552734375e+01,6.453058868646621704e-02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.223658561706542969e+00,2.223658561706542969e+00,7.272727321833372116e-03,7.272727321833372116e-03,6.453058868646621704e-02,7.081978149414062500e+02
9.873653650283813477e-01,8.818687796592712402e-01,2.811633944511413574e-01,7.587127387523651123e-02,7.388280034065246582e-01,2.353818130493164062e+01,2.450909042358398438e+01,4.016792774200439453e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.066384553909301758e+00,9.869512915611267090e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.016792774200439453e-01,1.001610900878906250e+03
9.873653650283813477e-01,9.854171872138977051e-01,1.613953858613967896e-01,9.147514402866363525e-02,9.120716452598571777e-01,2.029636383056640625e+01,2.438181877136230469e+01,6.568754315376281738e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.220125675201416016e+00,9.996964335441589355e-01,1.818181830458343029e-03,0.000000000000000000e+00,6.568754315376281738e-01,1.343189208984375000e+03
9.873653650283813477e-01,9.682646989822387695e-01,0.000000000000000000e+00,7.516586780548095703e-02,7.516586780548095703e-02,2.173090934753417969e+01,2.173090934753417969e+01,3.660206496715545654e-01,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.196377754211425781e+00,2.196377754211425781e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.660206496715545654e-01,1.841232910156250000e+03
9.873653650283813477e-01,9.465057849884033203e-01,7.094206213951110840e-01,8.854306489229202271e-02,7.988460063934326172e-01,2.121636390686035156e+01,2.429090881347656250e+01,5.824333429336547852e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.192168235778808594e+00,4.399999976158142090e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.824333429336547852e-01,2.175158691406250000e+03
9.959421753883361816e-01,9.959421753883361816e-01,6.937495470046997070e-01,1.029986962676048279e-01,9.678268432617187500e-01,2.014545440673828125e+01,2.450909042358398438e+01,7.751300930976867676e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.218486070632934570e+00,8.536674380302429199e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.751300930976867676e-01,2.579811035156250000e+03
9.959421753883361816e-01,9.770796895027160645e-01,8.060062527656555176e-01,1.032685115933418274e-01,9.664310216903686523e-01,2.123272705078125000e+01,2.460000038146972656e+01,8.707805275917053223e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.093241930007934570e+00,5.686869621276855469e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.707805275917053223e-01,2.910254638671875000e+03
9.959421753883361816e-01,9.916428923606872559e-01,7.093931436538696289e-01,1.133768931031227112e-01,9.462051987648010254e-01,2.153454589843750000e+01,2.394736862182617188e+01,9.084928631782531738e-01,5.400000000000000000e+02,5.300000000000000000e+01,5.380000000000000000e+02,5.200000000000000000e+01,1.886132359504699707e+00,9.971694946289062500e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.084928631782531738e-01,3.285055419921875000e+03
9.959421753883361816e-01,9.946581125259399414e-01,8.247874379158020020e-01,1.156275793910026550e-01,9.736818671226501465e-01,2.285636329650878906e+01,2.467272758483886719e+01,9.410873651504516602e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.979198455810546875e+00,2.800000011920928955e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.410873651504516602e-01,4.315365722656250000e+03
