r_best,r_max,r_top,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
9.803424477577209473e-01,9.803424477577209473e-01,7.456995844841003418e-01,1.693426817655563354e-01,9.618110656738281250e-01,1.388909053802490234e+01,1.445454502105712891e+01,4.809055328369140625e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.897092819213867188e+00,8.898517489433288574e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.809055328369140625e-01,1.371881713867187500e+02
9.803424477577209473e-01,9.608768224716186523e-01,7.041058540344238281e-01,1.810020506381988525e-01,9.301507472991943359e-01,1.480545425415039062e+01,1.389090919494628906e+01,7.055281400680541992e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.685811400413513184e+00,1.154256820678710938e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.055281400680541992e-01,2.817777404785156250e+02
9.803424477577209473e-01,9.601021409034729004e-01,6.745205521583557129e-01,1.919837594032287598e-01,9.272781014442443848e-01,1.406545448303222656e+01,1.356363677978515625e+01,8.164031505584716797e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.843733906745910645e+00,1.096004009246826172e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.164031505584716797e-01,4.800146484375000000e+02
9.803424477577209473e-01,9.663591384887695312e-01,7.581940293312072754e-01,1.877984106540679932e-01,9.406602382659912109e-01,1.325818157196044922e+01,1.447272682189941406e+01,8.785316944122314453e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.967804431915283203e+00,1.014180064201354980e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.785316944122314453e-01,6.470541992187500000e+02
9.891995787620544434e-01,9.891995787620544434e-01,8.545750379562377930e-01,1.819025576114654541e-01,9.703966975212097168e-01,1.431272697448730469e+01,1.329090881347656250e+01,9.244642257690429688e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.725501418113708496e+00,1.067959427833557129e+00,3.636363660916686058e-03,0.000000000000000000e+00,9.244642257690429688e-01,8.092271118164062500e+02
9.897321462631225586e-01,9.897321462631225586e-01,8.430165648460388184e-01,2.227934449911117554e-01,9.669444561004638672e-01,1.459272766113281250e+01,1.458181858062744141e+01,9.457043409347534180e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.725008010864257812e+00,1.095750689506530762e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.457043409347534180e-01,9.718607788085937500e+02
9.897321462631225586e-01,9.505025148391723633e-01,8.317784667015075684e-01,1.873138248920440674e-01,9.308015108108520508e-01,1.446363639831542969e+01,1.349090862274169922e+01,9.382529258728027344e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.684678316116333008e+00,1.256588816642761230e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.382529258728027344e-01,1.129747924804687500e+03
9.897321462631225586e-01,9.529998898506164551e-01,8.651900887489318848e-01,1.636703759431838989e-01,9.202931523323059082e-01,1.421818161010742188e+01,1.443636322021484375e+01,9.292730093002319336e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.633428812026977539e+00,1.241567254066467285e+00,1.818181830458343029e-03,0.000000000000000000e+00,9.292730093002319336e-01,1.262991455078125000e+03
9.897321462631225586e-01,9.462436437606811523e-01,8.261957168579101562e-01,2.291597872972488403e-01,8.717113137245178223e-01,1.414909076690673828e+01,1.396363639831542969e+01,9.004921913146972656e-01,5.440000000000000000e+02,5.500000000000000000e+01,5.310000000000000000e+02,5.000000000000000000e+01,1.610702037811279297e+00,1.336975336074829102e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.004921913146972656e-01,1.390866577148437500e+03
9.897321462631225586e-01,9.690423607826232910e-01,7.930437326431274414e-01,1.572511494159698486e-01,8.392205238342285156e-01,1.456545448303222656e+01,1.427272701263427734e+01,8.698563575744628906e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.230000000000000000e+02,3.400000000000000000e+01,1.454399824142456055e+00,1.181539654731750488e+00,2.181818149983882904e-02,0.000000000000000000e+00,8.698563575744628906e-01,1.508724487304687500e+03
9.911059141159057617e-01,9.911059141159057617e-01,8.334210515022277832e-01,1.421015709638595581e-01,9.690588116645812988e-01,1.464727306365966797e+01,1.454545497894287109e+01,9.194575548171997070e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.411855459213256836e+00,9.942852258682250977e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.194575548171997070e-01,2.342093017578125000e+03
