r_best,r_max,r_top,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
7.325244545936584473e-01,7.325244545936584473e-01,9.922333447320852429e-06,3.878883644938468933e-02,3.878883421421051025e-01,1.678727340698242188e+01,1.885454559326171875e+01,1.939441710710525513e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.170987129211425781e+00,1.386767745018005371e+00,9.090908803045749664e-03,0.000000000000000000e+00,1.939441710710525513e-01,1.347619628906250000e+02
9.419246315956115723e-01,9.419246315956115723e-01,2.436344366287812591e-04,7.632368057966232300e-02,7.632282376289367676e-01,1.693818092346191406e+01,1.920000076293945312e+01,4.785861968994140625e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.163884401321411133e+00,1.119851112365722656e+00,5.454545374959707260e-03,0.000000000000000000e+00,4.785861968994140625e-01,3.172118835449218750e+02
9.419246315956115723e-01,9.134687185287475586e-01,3.817796474322676659e-03,7.556577026844024658e-02,7.555847167968750000e-01,1.692363548278808594e+01,1.909090995788574219e+01,6.170854568481445312e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.172995328903198242e+00,1.317600965499877930e+00,1.818181830458343029e-03,0.000000000000000000e+00,6.170854568481445312e-01,4.376389160156250000e+02
9.419246315956115723e-01,5.193719863891601562e-01,6.372901611030101776e-03,3.703135624527931213e-02,3.701166808605194092e-01,1.587272739410400391e+01,1.903636360168457031e+01,4.936010539531707764e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.169888019561767578e+00,6.000000238418579102e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.936010539531707764e-01,5.758328857421875000e+02
9.419246315956115723e-01,6.886650919914245605e-01,8.101882040500640869e-02,4.918794333934783936e-02,4.803413748741149902e-01,1.835272789001464844e+01,1.861818122863769531e+01,4.869712293148040771e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.034309625625610352e+00,1.074810862541198730e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.869712293148040771e-01,6.980788574218750000e+02
9.419246315956115723e-01,6.586963534355163574e-01,8.022712171077728271e-02,5.047509074211120605e-02,4.915052652359008789e-01,1.684363555908203125e+01,1.887272644042968750e+01,4.892382621765136719e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.070225715637207031e+00,1.184014558792114258e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.892382621765136719e-01,8.161893310546875000e+02
9.419246315956115723e-01,9.314633011817932129e-01,2.284410148859024048e-01,8.941081911325454712e-02,8.752190470695495605e-01,1.645636367797851562e+01,1.870909118652343750e+01,6.822286844253540039e-01,5.490000000000000000e+02,5.500000000000000000e+01,5.460000000000000000e+02,5.200000000000000000e+01,1.960404038429260254e+00,4.499999880790710449e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.822286844253540039e-01,9.275705566406250000e+02
9.419246315956115723e-01,9.309857487678527832e-01,8.160402178764343262e-01,1.214970201253890991e-01,8.451098203659057617e-01,1.651272773742675781e+01,1.814754104614257812e+01,7.636692523956298828e-01,4.940000000000000000e+02,4.300000000000000000e+01,4.300000000000000000e+02,1.300000000000000000e+01,1.785915613174438477e+00,7.317053675651550293e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.636692523956298828e-01,1.017570007324218750e+03
9.419246315956115723e-01,9.154188036918640137e-01,7.687009572982788086e-01,2.325810641050338745e-01,8.513199687004089355e-01,1.657636451721191406e+01,1.851785659790039062e+01,8.074945807456970215e-01,3.970000000000000000e+02,5.300000000000000000e+01,3.080000000000000000e+02,3.100000000000000000e+01,1.584011077880859375e+00,9.223104119300842285e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.074945807456970215e-01,1.180930541992187500e+03
9.419246315956115723e-01,9.366070628166198730e-01,7.963811755180358887e-01,1.124681681394577026e-01,8.411536812782287598e-01,1.668545532226562500e+01,1.817857170104980469e+01,8.243241310119628906e-01,5.270000000000000000e+02,4.400000000000000000e+01,4.620000000000000000e+02,1.700000000000000000e+01,1.842501640319824219e+00,5.500000119209289551e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.243241310119628906e-01,1.305187988281250000e+03
9.781339168548583984e-01,9.781339168548583984e-01,6.690817326307296753e-02,8.613152056932449341e-02,8.495454192161560059e-01,1.767272758483886719e+01,1.927272796630859375e+01,8.369347453117370605e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.173670768737792969e+00,8.135476708412170410e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.369347453117370605e-01,1.422308959960937500e+03
