r_best,r_max,r_top,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
8.006900548934936523e-01,8.006900548934936523e-01,0.000000000000000000e+00,6.333205103874206543e-02,6.333205103874206543e-02,2.574909019470214844e+01,2.574909019470214844e+01,3.166602551937103271e-02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.375424861907958984e+00,2.375424861907958984e+00,1.090909074991941452e-02,1.090909074991941452e-02,3.166602551937103271e-02,7.475245971679687500e+02
9.523580670356750488e-01,9.523580670356750488e-01,0.000000000000000000e+00,7.621929049491882324e-02,7.621929049491882324e-02,2.683090972900390625e+01,2.683090972900390625e+01,5.394265800714492798e-02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.419898986816406250e+00,2.419898986816406250e+00,5.454545374959707260e-03,5.454545374959707260e-03,5.394265800714492798e-02,1.512633422851562500e+03
9.655247926712036133e-01,9.655247926712036133e-01,2.139613963663578033e-02,8.101911842823028564e-02,8.099397420883178711e-01,2.679999923706054688e+01,2.836363601684570312e+01,4.319412112236022949e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.296995401382446289e+00,8.852496147155761719e-01,2.909090928733348846e-02,0.000000000000000000e+00,4.319412112236022949e-01,2.208747070312500000e+03
9.655247926712036133e-01,9.192780256271362305e-01,0.000000000000000000e+00,7.438191026449203491e-02,7.438191026449203491e-02,2.755636405944824219e+01,2.755636405944824219e+01,2.531615495681762695e-01,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.183237314224243164e+00,2.183237314224243164e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.531615495681762695e-01,2.931717773437500000e+03
9.655247926712036133e-01,9.373685121536254883e-01,0.000000000000000000e+00,7.909637689590454102e-02,7.909637689590454102e-02,2.655272674560546875e+01,2.655272674560546875e+01,1.661289632320404053e-01,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.207097053527832031e+00,2.207097053527832031e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.661289632320404053e-01,3.654152343750000000e+03
9.655247926712036133e-01,9.449290633201599121e-01,2.190765887498855591e-01,8.415292203426361084e-02,8.415291905403137207e-01,2.767636299133300781e+01,2.810909080505371094e+01,5.038290619850158691e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.193739891052246094e+00,1.189606547355651855e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.038290619850158691e-01,4.343686523437500000e+03
9.655247926712036133e-01,9.551731944084167480e-01,2.567342715337872505e-03,8.443357050418853760e-02,8.443357348442077637e-01,2.694000053405761719e+01,2.809090995788574219e+01,6.740823984146118164e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.177812099456787109e+00,8.820371031761169434e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.740823984146118164e-01,5.101439453125000000e+03
9.655247926712036133e-01,9.642121195793151855e-01,2.428901195526123047e-01,7.812569290399551392e-02,7.789189219474792480e-01,2.706545448303222656e+01,2.832727241516113281e+01,7.265006899833679199e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.120715379714965820e+00,6.206896305084228516e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.265006899833679199e-01,5.834152343750000000e+03
9.655247926712036133e-01,9.486213922500610352e-01,7.709439843893051147e-02,8.373537659645080566e-02,8.373537659645080566e-01,2.829818153381347656e+01,2.856363677978515625e+01,7.819272279739379883e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.939586162567138672e+00,2.068965584039688110e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.819272279739379883e-01,6.501025878906250000e+03
9.655247926712036133e-01,9.604270458221435547e-01,3.881900012493133545e-01,8.643322438001632690e-02,8.210359215736389160e-01,2.893454551696777344e+01,2.838181877136230469e+01,8.014815449714660645e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.673666000366210938e+00,4.482758641242980957e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.014815449714660645e-01,7.183028808593750000e+03
9.655247926712036133e-01,9.586216807365417480e-01,0.000000000000000000e+00,8.524025976657867432e-02,8.524025976657867432e-02,2.691818237304687500e+01,2.691818237304687500e+01,4.433609247207641602e-01,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.150975465774536133e+00,2.150975465774536133e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.433609247207641602e-01,7.863560546875000000e+03
9.655247926712036133e-01,9.199253916740417480e-01,2.425839304924011230e-01,7.128360122442245483e-02,7.057234048843383789e-01,2.794363594055175781e+01,2.830909156799316406e+01,5.745421648025512695e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.170224428176879883e+00,6.896551847457885742e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.745421648025512695e-01,8.588525390625000000e+03
9.655247926712036133e-01,9.584956765174865723e-01,2.875858917832374573e-03,8.453616499900817871e-02,8.453584313392639160e-01,2.889272689819335938e+01,2.856363677978515625e+01,7.099503278732299805e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.796181201934814453e+00,2.413793057203292847e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.099503278732299805e-01,9.174238281250000000e+03
9.655247926712036133e-01,9.624195694923400879e-01,0.000000000000000000e+00,7.754422724246978760e-02,7.754422724246978760e-02,2.500727272033691406e+01,2.500727272033691406e+01,3.937472701072692871e-01,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.091911554336547852e+00,2.091911554336547852e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.937472701072692871e-01,9.823808593750000000e+03
9.745997190475463867e-01,9.745997190475463867e-01,0.000000000000000000e+00,7.973663508892059326e-02,7.973663508892059326e-02,2.572727203369140625e+01,2.572727203369140625e+01,2.367419451475143433e-01,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.147435903549194336e+00,2.147435903549194336e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.367419451475143433e-01,1.046751464843750000e+04
9.745997190475463867e-01,8.628353476524353027e-01,2.765126526355743408e-01,7.698720693588256836e-02,7.451860308647155762e-01,2.887454605102539062e+01,2.847272682189941406e+01,4.909639954566955566e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.752235651016235352e+00,8.281780481338500977e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.909639954566955566e-01,1.103456152343750000e+04
9.769647121429443359e-01,9.769647121429443359e-01,0.000000000000000000e+00,8.292000740766525269e-02,8.292000740766525269e-02,2.824363708496093750e+01,2.824363708496093750e+01,2.869420051574707031e-01,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,1.982991337776184082e+00,1.982991337776184082e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.869420051574707031e-01,1.183307812500000000e+04
9.769647121429443359e-01,9.429897069931030273e-01,0.000000000000000000e+00,7.991941273212432861e-02,7.991941273212432861e-02,2.712909126281738281e+01,2.712909126281738281e+01,1.834307014942169189e-01,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.004049062728881836e+00,2.004049062728881836e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.834307014942169189e-01,1.241412207031250000e+04
9.769647121429443359e-01,9.524030089378356934e-01,0.000000000000000000e+00,6.412119418382644653e-02,6.412119418382644653e-02,2.690727233886718750e+01,2.690727233886718750e+01,1.237759515643119812e-01,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.103486776351928711e+00,2.103486776351928711e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.237759515643119812e-01,1.311332910156250000e+04
9.769647121429443359e-01,9.491148591041564941e-01,4.175848364830017090e-01,7.846653461456298828e-02,7.846653461456298828e-01,2.845454597473144531e+01,2.834545516967773438e+01,4.542206525802612305e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.939644455909729004e+00,3.793103396892547607e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.542206525802612305e-01,1.375837207031250000e+04
9.769647121429443359e-01,9.668679833412170410e-01,2.553580999374389648e-01,7.533184438943862915e-02,7.480277419090270996e-01,2.858909034729003906e+01,2.849090957641601562e+01,6.011241674423217773e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.947791576385498047e+00,6.551724076271057129e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.011241674423217773e-01,1.434990917968750000e+04
9.769647121429443359e-01,8.945139050483703613e-01,8.058401290327310562e-04,5.605607479810714722e-02,5.605607628822326660e-01,2.867636299133300781e+01,2.861818122863769531e+01,5.808424949645996094e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.840884685516357422e+00,8.733315467834472656e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.808424949645996094e-01,1.496560644531250000e+04
9.769647121429443359e-01,9.564375877380371094e-01,1.403915302944369614e-05,3.176632151007652283e-02,3.176631927490234375e-01,2.814363670349121094e+01,2.858181762695312500e+01,4.492528438568115234e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.923514604568481445e+00,1.008430123329162598e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.492528438568115234e-01,1.573166894531250000e+04
9.769647121429443359e-01,9.394922852516174316e-01,0.000000000000000000e+00,7.843876630067825317e-02,7.843876630067825317e-02,2.759272766113281250e+01,2.759272766113281250e+01,2.638458013534545898e-01,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.032122611999511719e+00,2.032122611999511719e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.638458013534545898e-01,1.639123828125000000e+04
9.772188663482666016e-01,9.772188663482666016e-01,0.000000000000000000e+00,8.195208013057708740e-02,8.195208013057708740e-02,2.766727256774902344e+01,2.766727256774902344e+01,1.728989481925964355e-01,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.005980968475341797e+00,2.005980968475341797e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.728989481925964355e-01,1.705776757812500000e+04
9.772188663482666016e-01,8.650859594345092773e-01,9.872161762418510613e-19,4.963223263621330261e-02,4.963223338127136230e-01,2.866181755065917969e+01,2.878181838989257812e+01,3.346106410026550293e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.794055104255676270e+00,9.095058441162109375e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.346106410026550293e-01,1.772997460937500000e+04
9.772188663482666016e-01,9.687504768371582031e-01,0.000000000000000000e+00,8.610099554061889648e-02,8.610099554061889648e-02,2.692363548278808594e+01,2.692363548278808594e+01,2.103558182716369629e-01,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.018482208251953125e+00,2.018482208251953125e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.103558182716369629e-01,1.847859570312500000e+04
9.772188663482666016e-01,9.740967154502868652e-01,0.000000000000000000e+00,8.675661683082580566e-02,8.675661683082580566e-02,2.734909057617187500e+01,2.734909057617187500e+01,1.485562175512313843e-01,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,1.980561733245849609e+00,1.980561733245849609e+00,3.636363660916686058e-03,3.636363660916686058e-03,1.485562175512313843e-01,1.910752539062500000e+04
9.772188663482666016e-01,9.667720198631286621e-01,0.000000000000000000e+00,8.150813728570938110e-02,8.150813728570938110e-02,2.649454498291015625e+01,2.649454498291015625e+01,1.150321811437606812e-01,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.059275150299072266e+00,2.059275150299072266e+00,3.636363660916686058e-03,3.636363660916686058e-03,1.150321811437606812e-01,1.991151562500000000e+04
9.772188663482666016e-01,9.648920893669128418e-01,0.000000000000000000e+00,8.209163695573806763e-02,8.209163695573806763e-02,2.622727203369140625e+01,2.622727203369140625e+01,9.856190532445907593e-02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.172097682952880859e+00,2.172097682952880859e+00,1.818181830458343029e-03,1.818181830458343029e-03,9.856190532445907593e-02,2.057206640625000000e+04
9.788101911544799805e-01,9.788101911544799805e-01,7.216209173202514648e-02,7.347331941127777100e-02,7.341483235359191895e-01,2.816545486450195312e+01,2.839999961853027344e+01,4.163551032543182373e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.112744569778442383e+00,9.262880086898803711e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.163551032543182373e-01,2.118205664062500000e+04
9.788101911544799805e-01,9.109151959419250488e-01,0.000000000000000000e+00,6.953571736812591553e-02,6.953571736812591553e-02,2.805636405944824219e+01,2.805636405944824219e+01,2.429454177618026733e-01,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.038072347640991211e+00,2.038072347640991211e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.429454177618026733e-01,2.178684570312500000e+04
9.788101911544799805e-01,9.504193067550659180e-01,2.346843713894486427e-03,7.922293245792388916e-02,7.922293543815612793e-01,2.750181770324707031e+01,2.814545440673828125e+01,5.175873637199401855e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.113660573959350586e+00,7.977297902107238770e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.175873637199401855e-01,2.248157226562500000e+04
9.788101911544799805e-01,9.772869944572448730e-01,6.816244870424270630e-02,8.283215016126632690e-02,8.273530602455139160e-01,2.668727302551269531e+01,2.829090881347656250e+01,6.724702119827270508e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.207031488418579102e+00,5.517241358757019043e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.724702119827270508e-01,2.309716210937500000e+04
9.838724732398986816e-01,9.838724732398986816e-01,0.000000000000000000e+00,8.527985215187072754e-02,8.527985215187072754e-02,2.623454475402832031e+01,2.623454475402832031e+01,3.788750469684600830e-01,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.180101871490478516e+00,2.180101871490478516e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.788750469684600830e-01,2.373258203125000000e+04
