r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
0.9592642604014879,0,1,[x1*(x1 + x2) - cos(2*x2)],"sub,mul,add,x1,x2,x1,cos,add,x2,x2",0.03426394830383603,0.03426394830383603,False
0.9592642604014879,0,1,[x1*(x1 + x2) - cos(2*x2)],"sub,mul,x1,add,x1,x2,cos,add,x2,x2",0.03426394830383603,0.03426394830383603,False
0.9592642604014879,0,1,[x1*(x1 + x2) - cos(2*x2)],"sub,mul,add,x2,x1,x1,cos,add,x2,x2",0.03426394830383603,0.03426394830383603,False
0.957030021566156,0,1,[sin(x1*(x1 + x2)) - cos(2*x2)],"sub,sin,mul,x1,add,x1,x2,cos,add,x2,x2",0.018623648900379014,0.018623648900379014,False
0.957030021566156,0,1,[sin(x1*(x1 + x2)) - cos(2*x2)],"sub,sin,mul,add,x1,x2,x1,cos,add,x2,x2",0.018623648900379014,0.018623648900379014,False
0.9565792853883022,0,1,[x1*(x1 + x2) - cos(2*x2)],"sub,mul,add,x2,x1,x1,cos,add,x2,x2",0.03426394830383603,0.03426394830383603,False
0.9565792853883022,0,1,[x1*(x1 + x2) - cos(2*x2)],"sub,mul,x1,add,x1,x2,cos,add,x2,x2",0.03426394830383603,0.03426394830383603,False
0.9565792853883022,0,1,[x1*(x1 + x2) - cos(2*x2)],"sub,mul,add,x1,x2,x1,cos,add,x2,x2",0.03426394830383603,0.03426394830383603,False
0.955784770374431,0,1,[x1*sin(x1 + x2) - cos(2*x2)],"sub,mul,sin,add,x1,x2,x1,cos,add,x2,x2",0.018122317570635434,0.018122317570635434,False
0.955784770374431,0,1,[x1*sin(x1 + x2) - cos(2*x2)],"sub,mul,x1,sin,add,x1,x2,cos,add,x2,x2",0.018122317570635434,0.018122317570635434,False
0.9543038164891214,0,1,[sin(x1*(x1 + x2)) - cos(2*x2)],"sub,sin,mul,add,x1,x2,x1,cos,add,x2,x2",0.018623648900379014,0.018623648900379014,False
0.9543038164891214,0,1,[sin(x1*(x1 + x2)) - cos(2*x2)],"sub,sin,mul,x1,add,x1,x2,cos,add,x2,x2",0.018623648900379014,0.018623648900379014,False
0.9527017311226618,0,1,[x1*sin(x1 + x2) - cos(2*x2)],"sub,mul,sin,add,x1,x2,x1,cos,add,x2,x2",0.018122317570635434,0.018122317570635434,False
0.9527017311226618,0,1,[x1*sin(x1 + x2) - cos(2*x2)],"sub,mul,x1,sin,add,x1,x2,cos,add,x2,x2",0.018122317570635434,0.018122317570635434,False
0.9525425522000325,0,1,[(x2**2 + sin(x1*(x1 + x2)))**2],"n2,add,n2,x2,sin,mul,x1,add,x1,x2",0.0,0.0,True
0.9518055739613958,0,1,[(x1*sin(x1 + x2) + x2**2)**2],"n2,add,n2,x2,mul,x1,sin,add,x1,x2",0.0,0.0,True
0.9503264462604538,0,1,[x1*(x1 + sin(x2)) - cos(2*x2)],"sub,mul,x1,add,x1,sin,x2,cos,add,x2,x2",0.14194467047060552,0.14194467047060552,False
0.9503264462604538,0,1,[x1*(x1 + sin(x2)) - cos(2*x2)],"sub,mul,add,x1,sin,x2,x1,cos,add,x2,x2",0.14194467047060552,0.14194467047060552,False
0.9500193667593685,0,1,[(x1*(x1 + x2) + x2**2)**2],"n2,add,n2,x2,mul,add,x1,x2,x1",0.0,0.0,True
0.9500193667593685,0,1,[(x1**2 + x1*x2 + x2**2)**2],"n2,add,n2,x2,add,mul,x1,x1,mul,x2,x1",0.0,0.0,True
0.9500193667593685,0,1,[(x1*(x1 + x2) + x2**2)**2],"n2,add,n2,x2,mul,x1,add,x1,x2",0.0,0.0,True
0.9480191177256332,0,1,[x1*(2*x1 + x2) - cos(2*x2)],"sub,mul,add,x2,add,x1,x1,x1,cos,add,x2,x2",0.3893025494511107,0.3893025494511107,False
0.9480191177256332,0,1,[x1*(2*x1 + x2) - cos(2*x2)],"sub,mul,add,x1,add,x1,x2,x1,cos,add,x2,x2",0.3893025494511107,0.3893025494511107,False
0.9480191177256332,0,1,[x1*(2*x1 + x2) - cos(2*x2)],"sub,mul,add,x1,add,x2,x1,x1,cos,add,x2,x2",0.3893025494511107,0.3893025494511107,False
0.9480191177256332,0,1,[x1*(2*x1 + x2) - cos(2*x2)],"sub,mul,add,add,x1,x2,x1,x1,cos,add,x2,x2",0.3893025494511107,0.3893025494511107,False
0.9480191177256332,0,1,[x1*(2*x1 + x2) - cos(2*x2)],"sub,mul,x1,add,add,x1,x2,x1,cos,add,x2,x2",0.3893025494511107,0.3893025494511107,False
0.9480191177256332,0,1,[x1*(2*x1 + x2) - cos(2*x2)],"sub,mul,add,add,x1,x1,x2,x1,cos,add,x2,x2",0.3893025494511107,0.3893025494511107,False
0.9480191177256332,0,1,[x1*(2*x1 + x2) - cos(2*x2)],"sub,mul,x1,add,add,x1,x1,x2,cos,add,x2,x2",0.3893025494511107,0.3893025494511107,False
0.9480191177256332,0,1,[x1*(2*x1 + x2) - cos(2*x2)],"sub,mul,x1,add,x1,add,x1,x2,cos,add,x2,x2",0.3893025494511107,0.3893025494511107,False
0.9470565801250024,0,1,[(x2**2 + (x1 + x2)*sin(x1))**2],"n2,add,n2,x2,mul,sin,x1,add,x1,x2",0.07240377262889088,0.07240377262889088,False
0.9464424573541361,0,1,[(x1*(x1 + x2) + x2**2)**2],"n2,add,n2,x2,mul,add,x1,x2,x1",0.0,0.0,True
0.9464424573541361,0,1,[(x1**2 + x1*x2 + x2**2)**2],"n2,add,n2,x2,add,mul,x1,x1,mul,x2,x1",0.0,0.0,True
0.9464424573541361,0,1,[(x1*(x1 + x2) + x2**2)**2],"n2,add,n2,x2,mul,x1,add,x1,x2",0.0,0.0,True
0.9461757630492504,0,1,[(x2**2 + sin(x1*(x1 + x2)))**2],"n2,add,n2,x2,sin,mul,x1,add,x1,x2",0.0,0.0,True
0.9453531508023164,0,1,[(x1*sin(x1 + x2) + x2**2)**2],"n2,add,n2,x2,mul,x1,sin,add,x1,x2",0.0,0.0,True
0.9439320188511041,0,1,[2*x1*(x1 + x2) - cos(2*x2)],"sub,mul,add,x1,x1,add,x2,x1,cos,add,x2,x2",0.38759214421233557,0.38759214421233557,False
